"Proportion of deaths due to each cause, by sex, age group and state/territory, 2020, 2021, and 2022",,,,,,,,,,,,,,,,,,
,,,COVID-19,,,,,,,,Other Causes ,,,,,,,
Year,Sex,Age,NSW,Vic,Qld,SA,WA,Tas,NT,ACT,NSW,Vic,Qld,SA,WA,Tas,NT,ACT
2020,Male,0-4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Male,5-Sep,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Male,Oct-14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Male,15-19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Male,20-24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Male,25-29,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Male,30-34,0.000351247,0.004578163,5.67E-05,8.95E-05,0.000182648,0.001087193,0,0,0.999648753,0.995421837,0.999943277,0.999910466,0.999817352,0.998912807,1,1
2020,Male,35-39,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Male,40-44,0.000224108,0.003299733,3.65E-05,5.13E-05,0.000118603,0.000951294,0,0,0.999775892,0.996700267,0.99996347,0.999948694,0.999881397,0.999048706,1,1
2020,Male,45-49,0.00026664,0.004275938,4.59E-05,6.48E-05,0.000184493,0.001170823,0,0,0.99973336,0.995724062,0.999954108,0.999935231,0.999815507,0.998829177,1,1
2020,Male,50-54,0.000200437,0.002969199,3.49E-05,4.23E-05,0.000143254,0.00066177,0,0,0.999799563,0.997030801,0.999965077,0.99995772,0.999856746,0.99933823,1,1
2020,Male,55-59,0.000531556,0.009204518,0.00010829,0.000127627,0.000456621,0.001994946,0,0,0.999468444,0.990795482,0.99989171,0.999872373,0.999543379,0.998005054,1,1
2020,Male,60-64,0.000435136,0.007422999,8.79E-05,0.000110562,0.000376595,0.001542639,0,0,0.999564864,0.992577001,0.999912104,0.999889438,0.999623405,0.998457361,1,1
2020,Male,65-69,0.000560916,0.009234896,0.000103484,0.000145247,0.000432944,0.001799492,0,0,0.999439084,0.990765104,0.999896516,0.999854753,0.999567056,0.998200508,1,1
2020,Male,70-74,0.00102968,0.016513156,0.000196839,0.000258012,0.000879494,0.003146587,0,0,0.99897032,0.983486844,0.999803161,0.999741988,0.999120506,0.996853413,1,1
2020,Male,75-79,0.001181992,0.019469058,0.000229001,0.000291353,0.001085411,0.004074464,0,0,0.998818008,0.980530942,0.999770999,0.999708647,0.998914589,0.995925536,1,1
2020,Male,80-84,0.001270299,0.02083315,0.00026133,0.000310569,0.001173262,0.004603536,0,0,0.998729701,0.97916685,0.99973867,0.999689431,0.998826738,0.995396464,1,1
2020,Male,85-89,0.001707924,0.025821735,0.000383934,0.000403016,0.001638744,0.006738104,0,0,0.998292076,0.974178265,0.999616066,0.999596984,0.998361256,0.993261896,1,1
2020,Male,90-94,0.002017503,0.029261782,0.000491947,0.000457595,0.00192477,0.008254303,0,0,0.997982497,0.970738218,0.999508053,0.999542405,0.99807523,0.991745697,1,1
2020,Male,95-99,0.001349951,0.020488032,0.000330406,0.000325229,0.00151199,0.006794955,0,0,0.998650049,0.979511968,0.999669594,0.999674771,0.99848801,0.993205045,1,1
2020,Male,100+,,,,,,,,,,,,,,,,
2020,Male,Total,0.001151991,0.018174916,0.000233809,0.000280191,0.001006163,0.004206984,0,0,0.998848009,0.981825084,0.999766191,0.999719809,0.998993837,0.995793016,1,1
2020,Female,0-4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Female,5-Sep,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Female,Oct-14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Female,15-19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Female,20-24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Female,25-29,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Female,30-34,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Female,35-39,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Female,40-44,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Female,45-49,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2020,Female,50-54,0.00013721,0.002312802,2.60E-05,3.78E-05,0.00011672,0.000505561,0,0,0.99986279,0.997687198,0.999973965,0.999962193,0.99988328,0.999494439,1,1
2020,Female,55-59,0.000499033,0.007899513,9.10E-05,0.00012282,0.00038994,0.001842299,0,0,0.999500967,0.992100487,0.999909041,0.99987718,0.99961006,0.998157701,1,1
2020,Female,60-64,0.000540837,0.008707019,0.000108526,0.000136939,0.000425475,0.001756697,0,0,0.999459163,0.991292981,0.999891474,0.999863061,0.999574525,0.998243303,1,1
2020,Female,65-69,0.000365309,0.005805041,7.60E-05,8.95E-05,0.000310559,0.001435603,0,0,0.999634691,0.994194959,0.999924008,0.999910486,0.999689441,0.998564397,1,1
2020,Female,70-74,0.000647277,0.010725129,0.000130813,0.000155865,0.000597531,0.002140122,0,0,0.999352723,0.989274871,0.999869187,0.999844135,0.999402469,0.997859878,1,1
2020,Female,75-79,0.000879529,0.014194714,0.000176561,0.000215039,0.000807724,0.003250711,0,0,0.999120471,0.985805286,0.999823439,0.999784961,0.999192276,0.996749289,1,1
2020,Female,80-84,0.001623188,0.024565905,0.000349156,0.000400019,0.00156914,0.00649853,0,0,0.998376812,0.975434095,0.999650844,0.999599981,0.99843086,0.99350147,1,1
2020,Female,85-89,0.001702592,0.025029205,0.000401721,0.000404366,0.00156591,0.006498735,0,0,0.998297408,0.974970795,0.999598279,0.999595634,0.99843409,0.993501265,1,1
2020,Female,90-94,0.001635992,0.024033635,0.000391389,0.000385802,0.001577287,0.006297229,0,0,0.998364008,0.975966365,0.999608611,0.999614198,0.998422713,0.993702771,1,1
2020,Female,95-99,0.001690203,0.026008328,0.000414079,0.000366336,0.001524497,0.00838667,0,0,0.998309797,0.973991672,0.999585921,0.999633664,0.998475503,0.99161333,1,1
2020,Female,100+,,,,,,,,,,,,,,,,
