DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,52: 52,2: Victoria,A: Annual,2017,68,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,52: 52,2: Victoria,A: Annual,2018,76,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,52: 52,2: Victoria,A: Annual,2019,86,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,52: 52,2: Victoria,A: Annual,2020,73,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,52: 52,2: Victoria,A: Annual,2021,54,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,3: 3,4: South Australia,A: Annual,2017,1,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,3: 3,4: South Australia,A: Annual,2018,4,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,3: 3,4: South Australia,A: Annual,2019,2,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,3: 3,4: South Australia,A: Annual,2020,3,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,3: 3,4: South Australia,A: Annual,2021,1,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,81: 81,5: Western Australia,A: Annual,2017,170,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,81: 81,5: Western Australia,A: Annual,2018,172,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,81: 81,5: Western Australia,A: Annual,2019,144,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,81: 81,5: Western Australia,A: Annual,2020,170,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,81: 81,5: Western Australia,A: Annual,2021,186,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,32: 32,3: Queensland,A: Annual,2017,39,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,32: 32,3: Queensland,A: Annual,2018,31,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,32: 32,3: Queensland,A: Annual,2019,32,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,32: 32,3: Queensland,A: Annual,2020,34,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,32: 32,3: Queensland,A: Annual,2021,26,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,76: 76,4: South Australia,A: Annual,2017,169,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,76: 76,4: South Australia,A: Annual,2018,163,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,76: 76,4: South Australia,A: Annual,2019,178,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,76: 76,4: South Australia,A: Annual,2020,177,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,76: 76,4: South Australia,A: Annual,2021,180,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,79: 79,8: Australian Capital Territory,A: Annual,2017,26,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,79: 79,8: Australian Capital Territory,A: Annual,2018,29,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,79: 79,8: Australian Capital Territory,A: Annual,2019,31,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,79: 79,8: Australian Capital Territory,A: Annual,2020,36,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,79: 79,8: Australian Capital Territory,A: Annual,2021,33,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,99: 99,7: Northern Territory,A: Annual,2017,3,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,99: 99,7: Northern Territory,A: Annual,2018,0,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,99: 99,7: Northern Territory,A: Annual,2019,1,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,99: 99,7: Northern Territory,A: Annual,2020,1,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,99: 99,7: Northern Territory,A: Annual,2021,0,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,61: 61,5: Western Australia,A: Annual,2017,88,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,61: 61,5: Western Australia,A: Annual,2018,93,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,61: 61,5: Western Australia,A: Annual,2019,94,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,61: 61,5: Western Australia,A: Annual,2020,86,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,1: Males,61: 61,5: Western Australia,A: Annual,2021,83,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,72: 72,AUS: Australia,A: Annual,2017,1138,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,72: 72,AUS: Australia,A: Annual,2018,1145,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,72: 72,AUS: Australia,A: Annual,2019,1340,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,72: 72,AUS: Australia,A: Annual,2020,1263,NUM: Number,,
ABS:DEATHS_AGESPECIFIC_OCCURENCEYEAR(1.0.0),4: Deaths,2: Females,72: 72,AUS: Australia,A: Annual,2021,1166,NUM: Number,,
