"Number of deaths, by sex, age group and state/territory, 2021, and 2022",,,,,,,,,,,
,,,,,,,,,,,
Year,Sex,Age,NSW,Vic,Qld,SA,WA,Tas,NT,ACT,Aus
2021,Males,0-4,214,143,135,34,51,14,20,12,624
2021,Males,5-Sep,17,12,14,5,11,2,5,3,66
2021,Males,Oct-14,25,11,22,10,14,5,3,2,90
2021,Males,15-19,91,64,85,26,29,6,12,2,317
2021,Males,20-24,138,93,130,37,62,10,13,7,490
2021,Males,25-29,183,151,140,44,76,15,14,10,633
2021,Males,30-34,213,195,165,55,82,18,22,11,761
2021,Males,35-39,244,212,194,61,111,16,12,17,867
2021,Males,40-44,321,264,273,84,133,28,18,19,1140
2021,Males,45-49,537,404,381,124,186,41,32,35,1740
2021,Males,50-54,779,640,529,224,270,69,40,32,2584
2021,Males,55-59,1150,886,802,311,358,91,66,43,3707
2021,Males,60-64,1615,1219,1072,411,511,158,68,70,5124
2021,Males,65-69,2234,1548,1396,584,683,209,78,76,6809
2021,Males,70-74,3137,2357,2151,779,858,294,93,111,9781
2021,Males,75-79,3854,2779,2477,866,1095,320,77,129,11600
2021,Males,80-84,4599,3438,2829,1121,1292,391,69,178,13920
2021,Males,85-89,4720,3589,2651,1164,1283,354,42,170,13978
2021,Males,90-94,3680,2969,1897,1029,988,295,24,140,11024
2021,Males,95-99,1331,1033,686,358,375,95,7,44,3930
2021,Males,100+,171,134,95,47,56,13,2,11,529
2021,Males,Total ,29253,22141,18124,7374,8524,2443,715,1121,89714
2021,Females,0-4,146,123,146,29,43,11,11,8,517
2021,Females,5-Sep,19,18,9,1,2,3,2,1,55
2021,Females,Oct-14,19,12,21,4,7,1,0,0,62
2021,Females,15-19,46,28,29,13,8,2,6,3,136
2021,Females,20-24,49,57,40,11,27,0,7,6,197
2021,Females,25-29,58,55,47,15,31,2,6,5,219
2021,Females,30-34,89,85,71,25,46,4,5,7,331
2021,Females,35-39,142,109,113,46,59,10,13,11,503
2021,Females,40-44,206,181,166,51,75,15,15,10,719
2021,Females,45-49,336,251,214,78,116,25,33,12,1065
2021,Females,50-54,481,367,330,117,139,47,34,20,1535
2021,Females,55-59,724,546,488,184,226,72,42,29,2311
2021,Females,60-64,993,770,702,249,320,101,36,47,3218
2021,Females,65-69,1450,1020,917,362,446,135,50,50,4430
2021,Females,70-74,2127,1675,1351,485,593,230,37,77,6575
2021,Females,75-79,2766,1954,1682,708,727,267,66,134,8305
2021,Females,80-84,3714,2949,2258,940,1038,379,44,154,11480
2021,Females,85-89,4798,3878,2697,1255,1303,417,38,167,14557
2021,Females,90-94,5214,4155,2848,1405,1403,392,32,179,15628
2021,Females,95-99,2960,2146,1470,840,767,219,9,114,8525
2021,Females,100+,660,470,313,187,174,39,0,21,1864
2021,Females,Total ,26997,20849,15912,7004,7552,2371,485,1054,82233
2022,Males,0-4,170,118,170,39,59,9,24,13,602
2022,Males,5-Sep,19,13,13,5,19,1,4,2,76
2022,Males,Oct-14,28,23,28,1,6,2,0,5,94
2022,Males,15-19,94,63,61,17,32,8,11,7,293
2022,Males,20-24,129,125,125,33,59,8,25,12,516
2022,Males,25-29,176,141,136,34,80,15,18,12,612
2022,Males,30-34,229,206,161,61,104,20,33,3,818
2022,Males,35-39,301,225,225,68,128,17,26,19,1010
2022,Males,40-44,399,319,263,92,167,27,32,21,1321
2022,Males,45-49,530,427,399,125,194,52,42,28,1798
2022,Males,50-54,835,640,580,197,303,71,63,30,2719
2022,Males,55-59,1236,906,792,303,396,100,58,55,3846
2022,Males,60-64,1879,1270,1226,470,548,171,107,71,5743
2022,Males,65-69,2505,1779,1549,618,698,235,96,90,7570
2022,Males,70-74,3393,2517,2210,837,969,336,103,141,10505
2022,Males,75-79,4436,3243,3003,1078,1253,392,95,162,13663
2022,Males,80-84,5171,3848,3270,1231,1361,401,114,190,15586
2022,Males,85-89,5353,4058,3070,1319,1419,443,75,208,15943
2022,Males,90-94,4279,3268,2344,1037,1096,297,34,167,12522
2022,Males,95-99,1556,1226,823,419,372,91,3,69,4558
2022,Males,100+,226,170,124,77,43,14,1,9,665
2022,Males,Total ,32944,24586,20573,8060,9304,2712,965,1316,100460
2022,Females,0-4,139,116,145,34,42,7,18,8,509
2022,Females,5-Sep,21,15,15,6,6,0,0,0,64
2022,Females,Oct-14,11,16,17,3,5,2,4,4,61
2022,Females,15-19,39,25,25,10,15,4,8,3,128
2022,Females,20-24,62,43,43,19,23,5,7,5,208
2022,Females,25-29,65,62,49,26,30,3,10,1,246
2022,Females,30-34,91,99,69,28,50,5,12,10,365
2022,Females,35-39,149,127,120,38,67,15,23,12,551
2022,Females,40-44,208,178,185,55,88,12,19,19,764
2022,Females,45-49,321,297,240,68,142,33,26,12,1139
2022,Females,50-54,505,476,383,121,168,51,41,33,1778
2022,Females,55-59,740,548,528,193,255,60,56,29,2408
2022,Females,60-64,1070,831,739,296,314,121,65,44,3480
2022,Females,65-69,1547,1085,968,394,466,178,76,64,4778
2022,Females,70-74,2168,1697,1436,542,628,204,71,107,6852
2022,Females,75-79,3178,2271,2048,847,811,309,72,139,9676
2022,Females,80-84,4317,3250,2438,1093,1122,351,77,184,12833
2022,Females,85-89,5505,4314,3127,1413,1422,429,61,206,16478
2022,Females,90-94,5992,4571,3057,1544,1474,423,46,229,17337
2022,Females,95-99,3349,2493,1649,908,821,191,15,138,9564
2022,Females,100+,793,608,366,224,200,41,3,30,2264
2022,Females,Total ,30270,23122,17649,7863,8148,2444,711,1277,91485
