DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2021-Q1,82787,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2021-Q2,84597,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2021-Q3,85683,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2021-Q4,86837,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,77: 77,AUS: Australia,Q: Quarterly,2022-Q1,87967,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,37: 37,1: New South Wales,Q: Quarterly,2021-Q1,58862,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,37: 37,1: New South Wales,Q: Quarterly,2021-Q2,58877,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,37: 37,1: New South Wales,Q: Quarterly,2021-Q3,58832,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,37: 37,1: New South Wales,Q: Quarterly,2021-Q4,58816,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,37: 37,1: New South Wales,Q: Quarterly,2022-Q1,58886,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q1,135311,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q2,136028,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q3,136517,PSNS: Persons,,
ABS:ERP_Q(1.0.0),1: Estimated Resident Population,2: Females,66: 66,AUS: Australia,Q: Quarterly,2021-Q4,137240,PSNS: Persons,,
